"f1" "f2" "f3"
"1" 0 1 0
"2" 0.108119018423942 0.99413795715436 0
"3" 0.214970440211024 0.976620555710087 0
"4" 0.31930153013598 0.947653171182802 0
"5" 0.419889101560265 0.907575419670957 0
"6" 0.515553857177022 0.856857176167589 0
"7" 0.605174215193765 0.796093065705644 0
"8" 0.687699458853423 0.725995491923131 0
"9" 0.762162055127636 0.647386284781828 0
"10" 0.827688998156891 0.561187065362382 0
"11" 0.883512044446023 0.46840844069979 0
"12" 0.928976719816791 0.370138155339914 0
"13" 0.963549992519223 0.267528338529221 0
"14" 0.986826522541526 0.161781996552765 0
"15" 0.998533413851124 0.0541389085854176 0
"16" 0.998533413851124 -0.0541389085854175 0
"17" 0.986826522541526 -0.161781996552765 0
"18" 0.963549992519223 -0.267528338529221 0
"19" 0.928976719816791 -0.370138155339914 0
"20" 0.883512044446023 -0.46840844069979 0
"21" 0.827688998156891 -0.561187065362382 0
"22" 0.762162055127636 -0.647386284781828 0
"23" 0.687699458853423 -0.725995491923131 0
"24" 0.605174215193765 -0.796093065705644 0
"25" 0.515553857177022 -0.856857176167589 0
"26" 0.419889101560264 -0.907575419670957 0
"27" 0.31930153013598 -0.947653171182802 0
"28" 0.214970440211024 -0.976620555710087 0
"29" 0.108119018423942 -0.99413795715436 0
"30" -3.21624529935327e-16 -1 0
"31" -0.108119018423942 -0.99413795715436 0
"32" -0.214970440211024 -0.976620555710087 0
"33" -0.31930153013598 -0.947653171182802 0
"34" -0.419889101560265 -0.907575419670957 0
"35" -0.515553857177022 -0.856857176167589 0
"36" -0.605174215193765 -0.796093065705644 0
"37" -0.687699458853423 -0.725995491923131 0
"38" -0.762162055127637 -0.647386284781827 0
"39" -0.827688998156891 -0.561187065362382 0
"40" -0.883512044446023 -0.46840844069979 0
"41" -0.928976719816791 -0.370138155339914 0
"42" -0.963549992519223 -0.26752833852922 0
"43" -0.986826522541526 -0.161781996552765 0
"44" -0.998533413851124 -0.0541389085854171 0
"45" -0.998533413851124 0.0541389085854176 0
"46" -0.986826522541526 0.161781996552765 0
"47" -0.963549992519223 0.267528338529221 0
"48" -0.928976719816792 0.370138155339914 0
"49" -0.883512044446023 0.46840844069979 0
"50" -0.827688998156891 0.561187065362382 0
"51" -0.762162055127636 0.647386284781828 0
"52" -0.687699458853423 0.725995491923131 0
"53" -0.605174215193765 0.796093065705644 0
"54" -0.515553857177022 0.856857176167589 0
"55" -0.419889101560264 0.907575419670957 0
"56" -0.31930153013598 0.947653171182802 0
"57" -0.214970440211024 0.976620555710087 0
"58" -0.108119018423942 0.99413795715436 0
"59" 0 1 1
"60" 0.149042266176174 0.988830826225129 1
"61" 0.294755174410904 0.955572805786141 1
"62" 0.433883739117558 0.900968867902419 1
"63" 0.563320058063622 0.826238774315995 1
"64" 0.680172737770919 0.733051871829826 1
"65" 0.78183148246803 0.623489801858734 1
"66" 0.866025403784439 0.5 1
"67" 0.930873748644204 0.365341024366395 1
"68" 0.974927912181824 0.222520933956314 1
"69" 0.99720379718118 0.0747300935864242 1
"70" 0.99720379718118 -0.0747300935864243 1
"71" 0.974927912181824 -0.222520933956314 1
"72" 0.930873748644204 -0.365341024366395 1
"73" 0.866025403784439 -0.5 1
"74" 0.78183148246803 -0.623489801858733 1
"75" 0.680172737770919 -0.733051871829826 1
"76" 0.563320058063622 -0.826238774315995 1
"77" 0.433883739117558 -0.900968867902419 1
"78" 0.294755174410904 -0.955572805786141 1
"79" 0.149042266176174 -0.988830826225129 1
"80" 1.22464679914735e-16 -1 1
"81" -0.149042266176174 -0.988830826225129 1
"82" -0.294755174410904 -0.955572805786141 1
"83" -0.433883739117558 -0.900968867902419 1
"84" -0.563320058063622 -0.826238774315995 1
"85" -0.680172737770919 -0.733051871829826 1
"86" -0.78183148246803 -0.623489801858734 1
"87" -0.866025403784439 -0.5 1
"88" -0.930873748644204 -0.365341024366395 1
"89" -0.974927912181824 -0.222520933956315 1
"90" -0.99720379718118 -0.0747300935864238 1
"91" -0.99720379718118 0.0747300935864244 1
"92" -0.974927912181824 0.222520933956314 1
"93" -0.930873748644204 0.365341024366395 1
"94" -0.866025403784439 0.5 1
"95" -0.78183148246803 0.623489801858733 1
"96" -0.680172737770919 0.733051871829827 1
"97" -0.563320058063622 0.826238774315995 1
"98" -0.433883739117558 0.900968867902419 1
"99" -0.294755174410904 0.955572805786141 1
"100" -0.149042266176174 0.988830826225129 1
