"a" "trn" "tst"
"1" -0.206413978040998 -0.206413978040998 -1.27751093798212
"2" -0.429741973482443 -0.429741973482443 0.557940501678616
"3" 1.04372687406593 -0.318058527228439 -0.874604798146135
"4" -0.318058527228439 0.32403306061206 0.138588927146674
"5" 0.32403306061206 -0.35746385832916 1.22083580135678
"6" 0.557940501678616 1.94012907603038 -1.27241362785052
"7" -0.874604798146135 1.28899376349441 0.916650806908223
"8" -0.35746385832916 0.583169541569809 1.04372687406593
"9" 1.94012907603038 -2.12814223606672 1.29595406131318
"10" 0.138588927146674 -0.432343109949647 0.126985025506348
"11" 0.916650806908223 7.91363137912564 7.83857144404408
"12" 1.28899376349441 7.92287667618364 7.40746947399901
"13" 0.583169541569809 6.89162220959175 6.35131580502892
"14" 0.126985025506348 6.79537069741312 8.14709963238325
"15" 1.29595406131318 7.02839167523195 7.58629202922717
"16" -1.27241362785052 7.15433949133137 7.94531359778401
"17" 1.22083580135678 7.91440138661768 7.34507403210208
"18" -2.12814223606672 8.17864230458618 8.78520802153007
"19" -1.27751093798212 9.56566366065434 7.87203281984547
"20" -0.432343109949647 7.56809089082833 8.87058959783859
"21" 7.91363137912564 -0.206413978040998 -1.27751093798212
"22" 6.35131580502892 -0.429741973482443 0.557940501678616
"23" 8.78520802153007 -0.318058527228439 -0.874604798146135
"24" 7.92287667618364 0.32403306061206 0.138588927146674
"25" 6.89162220959175 -0.35746385832916 1.22083580135678
"26" 6.79537069741312 1.94012907603038 -1.27241362785052
"27" 7.02839167523195 1.28899376349441 0.916650806908223
"28" 7.15433949133137 0.583169541569809 1.04372687406593
"29" 7.87203281984547 -2.12814223606672 1.29595406131318
"30" 7.94531359778401 -0.432343109949647 0.126985025506348
"31" 7.40746947399901 7.91363137912564 7.83857144404408
"32" 7.91440138661768 7.92287667618364 7.40746947399901
"33" 7.34507403210208 6.89162220959175 6.35131580502892
"34" 8.17864230458618 6.79537069741312 8.14709963238325
"35" 9.56566366065434 7.02839167523195 7.58629202922717
"36" 8.87058959783859 7.15433949133137 7.94531359778401
"37" 7.58629202922717 7.91440138661768 7.34507403210208
"38" 8.14709963238325 8.17864230458618 8.78520802153007
"39" 7.83857144404408 9.56566366065434 7.87203281984547
"40" 7.56809089082833 7.56809089082833 8.87058959783859
