"f1" "f2" "f3" "f4" "f5"
"1" 1 1 1 0 0
"2" 0.964285714285714 0.964285714285714 0.964285714285714 0.0357142857142857 0
"3" 0.928571428571429 0.928571428571429 0.928571428571429 0.0714285714285714 0
"4" 0.892857142857143 0.892857142857143 0.892857142857143 0.107142857142857 0
"5" 0.857142857142857 0.857142857142857 0.857142857142857 0.142857142857143 0
"6" 0.821428571428571 0.821428571428571 0.821428571428571 0.178571428571429 0
"7" 0.785714285714286 0.785714285714286 0.785714285714286 0.214285714285714 0
"8" 0.75 0.75 0.75 0.25 0
"9" 0.714285714285714 0.714285714285714 0.714285714285714 0.285714285714286 0
"10" 0.678571428571429 0.678571428571429 0.678571428571429 0.321428571428571 0
"11" 0.642857142857143 0.642857142857143 0.642857142857143 0.357142857142857 0
"12" 0.607142857142857 0.607142857142857 0.607142857142857 0.392857142857143 0
"13" 0.571428571428571 0.571428571428571 0.571428571428571 0.428571428571429 0
"14" 0.535714285714286 0.535714285714286 0.535714285714286 0.464285714285714 0
"15" 0.5 0.5 0.5 0.5 0
"16" 0.464285714285714 0.464285714285714 0.464285714285714 0.535714285714286 0
"17" 0.428571428571429 0.428571428571429 0.428571428571429 0.571428571428571 0
"18" 0.392857142857143 0.392857142857143 0.392857142857143 0.607142857142857 0
"19" 0.357142857142857 0.357142857142857 0.357142857142857 0.642857142857143 0
"20" 0.321428571428571 0.321428571428571 0.321428571428571 0.678571428571429 0
"21" 0.285714285714286 0.285714285714286 0.285714285714286 0.714285714285714 0
"22" 0.25 0.25 0.25 0.75 0
"23" 0.214285714285714 0.214285714285714 0.214285714285714 0.785714285714286 0
"24" 0.178571428571429 0.178571428571429 0.178571428571429 0.821428571428571 0
"25" 0.142857142857143 0.142857142857143 0.142857142857143 0.857142857142857 0
"26" 0.107142857142857 0.107142857142857 0.107142857142857 0.892857142857143 0
"27" 0.0714285714285714 0.0714285714285714 0.0714285714285714 0.928571428571429 0
"28" 0.0357142857142857 0.0357142857142857 0.0357142857142857 0.964285714285714 0
"29" 0 0 0 1 0
"30" 1 1 1 1 1
"31" 0.967741935483871 1 0.967741935483871 1 0.967741935483871
"32" 0.935483870967742 1 0.935483870967742 1 0.935483870967742
"33" 0.903225806451613 1 0.903225806451613 1 0.903225806451613
"34" 0.870967741935484 1 0.870967741935484 1 0.870967741935484
"35" 0.838709677419355 1 0.838709677419355 1 0.838709677419355
"36" 0.806451612903226 1 0.806451612903226 1 0.806451612903226
"37" 0.774193548387097 1 0.774193548387097 1 0.774193548387097
"38" 0.741935483870968 1 0.741935483870968 1 0.741935483870968
"39" 0.709677419354839 1 0.709677419354839 1 0.709677419354839
"40" 0.67741935483871 1 0.67741935483871 1 0.67741935483871
"41" 0.645161290322581 1 0.645161290322581 1 0.645161290322581
"42" 0.612903225806452 1 0.612903225806452 1 0.612903225806452
"43" 0.580645161290323 1 0.580645161290323 1 0.580645161290323
"44" 0.548387096774194 1 0.548387096774194 1 0.548387096774194
"45" 0.516129032258065 1 0.516129032258065 1 0.516129032258065
"46" 0.483870967741935 1 0.483870967741935 1 0.483870967741935
"47" 0.451612903225806 1 0.451612903225806 1 0.451612903225806
"48" 0.419354838709677 1 0.419354838709677 1 0.419354838709677
"49" 0.387096774193548 1 0.387096774193548 1 0.387096774193548
"50" 0.354838709677419 1 0.354838709677419 1 0.354838709677419
"51" 0.32258064516129 1 0.32258064516129 1 0.32258064516129
"52" 0.290322580645161 1 0.290322580645161 1 0.290322580645161
"53" 0.258064516129032 1 0.258064516129032 1 0.258064516129032
"54" 0.225806451612903 1 0.225806451612903 1 0.225806451612903
"55" 0.193548387096774 1 0.193548387096774 1 0.193548387096774
"56" 0.161290322580645 1 0.161290322580645 1 0.161290322580645
"57" 0.129032258064516 1 0.129032258064516 1 0.129032258064516
"58" 0.0967741935483871 1 0.0967741935483871 1 0.0967741935483871
"59" 0.064516129032258 1 0.064516129032258 1 0.064516129032258
"60" 0.032258064516129 1 0.032258064516129 1 0.032258064516129
"61" 0 1 0 1 0
"62" 1 0 1 1 1
"63" 0.973684210526316 0.0263157894736842 1 0.973684210526316 1
"64" 0.947368421052632 0.0526315789473684 1 0.947368421052632 1
"65" 0.921052631578947 0.0789473684210526 1 0.921052631578947 1
"66" 0.894736842105263 0.105263157894737 1 0.894736842105263 1
"67" 0.868421052631579 0.131578947368421 1 0.868421052631579 1
"68" 0.842105263157895 0.157894736842105 1 0.842105263157895 1
"69" 0.815789473684211 0.184210526315789 1 0.815789473684211 1
"70" 0.789473684210526 0.210526315789474 1 0.789473684210526 1
"71" 0.763157894736842 0.236842105263158 1 0.763157894736842 1
"72" 0.736842105263158 0.263157894736842 1 0.736842105263158 1
"73" 0.710526315789474 0.289473684210526 1 0.710526315789474 1
"74" 0.684210526315789 0.315789473684211 1 0.684210526315789 1
"75" 0.657894736842105 0.342105263157895 1 0.657894736842105 1
"76" 0.631578947368421 0.368421052631579 1 0.631578947368421 1
"77" 0.605263157894737 0.394736842105263 1 0.605263157894737 1
"78" 0.578947368421053 0.421052631578947 1 0.578947368421053 1
"79" 0.552631578947368 0.447368421052632 1 0.552631578947368 1
"80" 0.526315789473684 0.473684210526316 1 0.526315789473684 1
"81" 0.5 0.5 1 0.5 1
"82" 0.473684210526316 0.526315789473684 1 0.473684210526316 1
"83" 0.447368421052632 0.552631578947368 1 0.447368421052632 1
"84" 0.421052631578947 0.578947368421053 1 0.421052631578947 1
"85" 0.394736842105263 0.605263157894737 1 0.394736842105263 1
"86" 0.368421052631579 0.631578947368421 1 0.368421052631579 1
"87" 0.342105263157895 0.657894736842105 1 0.342105263157895 1
"88" 0.315789473684211 0.684210526315789 1 0.315789473684211 1
"89" 0.289473684210526 0.710526315789474 1 0.289473684210526 1
"90" 0.263157894736842 0.736842105263158 1 0.263157894736842 1
"91" 0.236842105263158 0.763157894736842 1 0.236842105263158 1
"92" 0.210526315789474 0.789473684210526 1 0.210526315789474 1
"93" 0.184210526315789 0.815789473684211 1 0.184210526315789 1
"94" 0.157894736842105 0.842105263157895 1 0.157894736842105 1
"95" 0.131578947368421 0.868421052631579 1 0.131578947368421 1
"96" 0.105263157894737 0.894736842105263 1 0.105263157894737 1
"97" 0.0789473684210527 0.921052631578947 1 0.0789473684210527 1
"98" 0.0526315789473684 0.947368421052632 1 0.0526315789473684 1
"99" 0.0263157894736842 0.973684210526316 1 0.0263157894736842 1
"100" 0 1 1 0 1
