"feature1" "feature2" "feature3" "label"
"1" 0.312465611403887 0.419771830442985 0.406117695007723 1
"2" 0.433372782035213 -0.261902451962894 0.651903784110228 1
"3" 0.238937569700636 -0.399702060874057 0.279449726923727 1
"4" 0.353363640431253 -0.339334531296933 0.481283620766307 1
"5" 0.236804036789383 -0.447210076449249 0.278900589983468 1
"6" 0.489122301046256 0.030921054567856 0.837318178037542 1
"7" 0.412911862180327 -0.253129276457243 0.639687960222098 1
"8" 0.495560305501673 0.152214240111354 0.801045406323299 1
"9" 0.403265900442842 0.248212931374779 0.632056898968408 1
"10" 0.0956629919718382 0.479549611211117 0.0967046208006912 1
"11" 0.357568520877578 0.418855451636951 0.411015336521298 1
"12" 0.299090784539797 0.377968282801792 0.41299247735047 1
"13" 0.123502621215075 -0.484857023361563 0.161995753314158 1
"14" 0.472899046406534 -0.09675525855972 0.798277540922856 1
"15" 0.463397495559215 -0.173564365074329 0.726809573890847 1
"16" 0.358294582563696 0.386133068997386 0.511817180269833 1
"17" 0.0829622206242596 0.46969602086421 0.0746452070881732 1
"18" 0.492851079395092 -0.0173843719439738 0.855427469695765 1
"19" 0.158699257711749 0.500609699242061 0.124356705424288 1
"20" 0.444530131729346 -0.222033710416247 0.706807995210248 1
"21" 0.284926743534532 0.418257101363207 0.361009923474595 1
"22" 0.460924615514516 0.112545436732501 0.757043390443698 1
"23" 0.44366960761836 -0.265902091097144 0.6644464898434 1
"24" 0.426225096479697 -0.254694536212571 0.696430316102089 1
"25" 0.0217732371262556 0.478817273016849 0.0153583176397168 1
"26" 0.377299677480145 0.278174015905113 0.577530934527356 1
"27" -0.0033999041489556 -0.517585979489444 0.0174953844302684 1
"28" 0.454890793481542 0.246364505405996 0.678872792231948 1
"29" 0.212461824954368 -0.432137882757513 0.26078549803775 1
"30" 0.220453553863293 0.441873170216905 0.278044882279615 1
"31" 0.468907589261107 0.227730842631821 0.700895912871862 1
"32" 0.137848941313598 -0.489435859095603 0.171459371033769 1
"33" 0.403255182975282 -0.318772998038431 0.589344227595653 1
"34" 0.33494999327891 0.374073511748277 0.495706084112969 1
"35" 0.445994626598153 -0.286614163273627 0.612116845037873 1
"36" 0.346586036343571 0.358686316160273 0.491209916850124 1
"37" 0.13157152016591 0.485868200080876 0.132736869454781 1
"38" 0.11771281480479 0.453484789559027 0.144191802272356 1
